Title.href,Title.text,Year,Weekend,Gross,Weeks,index,url
http://www.imdb.com/title/tt3659388?ref_=cht_bo_1,The Martian,-2015,$11.72M,$183.12M,5,1,http://www.imdb.com/chart/?ref_=nv_ch_cht_1
http://www.imdb.com/title/tt1051904?ref_=cht_bo_2,Goosebumps,-2015,$9.87M,$56.76M,3,2,http://www.imdb.com/chart/?ref_=nv_ch_cht_1
http://www.imdb.com/title/tt3682448?ref_=cht_bo_3,Bridge of Spies,-2015,$8.39M,$45.53M,3,3,http://www.imdb.com/chart/?ref_=nv_ch_cht_1
http://www.imdb.com/title/tt2510894?ref_=cht_bo_4,Hotel Transylvania 2,-2015,$5.86M,$156.04M,6,4,http://www.imdb.com/chart/?ref_=nv_ch_cht_1
http://www.imdb.com/title/tt1618442?ref_=cht_bo_5,The Last Witch Hunter,-2015,$5.16M,$19.03M,2,5,http://www.imdb.com/chart/?ref_=nv_ch_cht_1
http://www.imdb.com/title/tt2503944?ref_=cht_bo_6,Burnt,-2015,$5.00M,$5.00M,1,6,http://www.imdb.com/chart/?ref_=nv_ch_cht_1
http://www.imdb.com/title/tt2473510?ref_=cht_bo_7,Paranormal Activity: The Ghost Dimension,-2015,$3.44M,$13.55M,2,7,http://www.imdb.com/chart/?ref_=nv_ch_cht_1
http://www.imdb.com/title/tt1018765?ref_=cht_bo_8,Our Brand Is Crisis,-2015,$3.24M,$3.24M,1,8,http://www.imdb.com/chart/?ref_=nv_ch_cht_1
http://www.imdb.com/title/tt2554274?ref_=cht_bo_9,Crimson Peak,-2015,$3.07M,$27.71M,3,9,http://www.imdb.com/chart/?ref_=nv_ch_cht_1
http://www.imdb.com/title/tt2080374?ref_=cht_bo_10,Steve Jobs,-2015,$2.69M,$14.65M,4,10,http://www.imdb.com/chart/?ref_=nv_ch_cht_1
